source_stage,source_country,target_stage,target_country,value
consumption,EU27,End-use,mining,1364385488.70672
consumption,EU27,End-use,manufacturing,8058678056.098321
consumption,EU27,End-use,machinery_electronics,7784646767.066946
consumption,EU27,End-use,auto,2923066160.158325
consumption,EU27,End-use,electricity,564971477.5979807
consumption,EU27,End-use,gas_water,286389934.72718257
consumption,EU27,End-use,construction,7457403816.704581
consumption,EU27,End-use,service,6013343758.78909
consumption,EU27,End-use,transportation,610111878.9040924
consumption,EU27,End-use,waste,133403985.13672438
consumption,EU27,End-use,other_sec,605070042.4077419
consumption,other,End-use,agrifood,3346379646.4265366
consumption,other,End-use,mining,16073519175.244118
consumption,other,End-use,manufacturing,23832985963.64989
consumption,other,End-use,machinery_electronics,33290903545.824467
consumption,other,End-use,auto,6059373859.42502
consumption,other,End-use,electricity,989592771.1292138
consumption,other,End-use,gas_water,434271576.28723025
consumption,other,End-use,construction,27889477060.070618
consumption,other,End-use,service,13805083920.915342
consumption,other,End-use,transportation,1115458544.7281418
consumption,other,End-use,waste,578635953.3021637
consumption,other,End-use,other_sec,1429497451.7052507
