source_stage,source_country,target_stage,target_country,value
consumption,Japan,End-use,gas_water,0.009208286586007208
consumption,Japan,End-use,construction,0.55535549123471
consumption,Japan,End-use,service,0.5413366652233309
consumption,Japan,End-use,transportation,0.03978333997841474
consumption,Japan,End-use,waste,0.00537202584557582
consumption,Japan,End-use,other_sec,0.1992795531745497
consumption,USA,End-use,agrifood,0.2209517871842287
consumption,USA,End-use,mining,0.13445013805263506
consumption,USA,End-use,manufacturing,1.4493894558627978
consumption,USA,End-use,machinery_electronics,2.3884719291051715
consumption,USA,End-use,auto,1.1617878922387617
consumption,USA,End-use,electricity,0.018354606452586582
consumption,USA,End-use,gas_water,0.029707951068201864
consumption,USA,End-use,construction,0.6211621140867842
consumption,USA,End-use,service,1.5282532939279516
consumption,USA,End-use,transportation,0.05654653952834722
consumption,USA,End-use,waste,0.01313955402202283
consumption,USA,End-use,other_sec,0.15567552556855913
consumption,EU27,End-use,agrifood,0.5592312345604402
consumption,EU27,End-use,mining,0.4913872223234998
consumption,EU27,End-use,manufacturing,2.249679177048718
consumption,EU27,End-use,machinery_electronics,1.8546278539932075
consumption,EU27,End-use,auto,1.13501311441674
consumption,EU27,End-use,electricity,0.11300939025015411
consumption,EU27,End-use,gas_water,0.05449059027948858
consumption,EU27,End-use,construction,1.1662681816846754
consumption,EU27,End-use,service,1.6142392186926733
consumption,EU27,End-use,transportation,0.22448731888185264
consumption,EU27,End-use,waste,0.036478296607365485
consumption,EU27,End-use,other_sec,0.22146458137489447
consumption,other,End-use,agrifood,2.9572934142060516
consumption,other,End-use,mining,5.8291506114971865
consumption,other,End-use,manufacturing,7.924693974918037
consumption,other,End-use,machinery_electronics,9.340348274607905
consumption,other,End-use,auto,3.239393931005722
consumption,other,End-use,electricity,1.282355403001222
consumption,other,End-use,gas_water,0.7530383040187412
consumption,other,End-use,construction,9.096648821752272
consumption,other,End-use,service,11.193075213748626
consumption,other,End-use,transportation,1.0652380490742175
consumption,other,End-use,waste,1.1422828770345659
consumption,other,End-use,other_sec,1.792977281542711
