source_stage,source_country,target_stage,target_country,value
consumption,Japan,End-use,manufacturing,129734548.11076516
consumption,Japan,End-use,machinery_electronics,360366723.3182708
consumption,Japan,End-use,auto,102976275.2087387
consumption,Japan,End-use,electricity,9172114.29886062
consumption,Japan,End-use,gas_water,2319085.1917317803
consumption,Japan,End-use,construction,145769066.89498785
consumption,Japan,End-use,service,142098308.5813442
consumption,Japan,End-use,transportation,10777733.633413393
consumption,Japan,End-use,waste,1346774.628755855
consumption,Japan,End-use,other_sec,37033875.817163214
consumption,USA,End-use,agrifood,70706917.59534669
consumption,USA,End-use,mining,34907633.08695572
consumption,USA,End-use,manufacturing,478826684.2654625
consumption,USA,End-use,machinery_electronics,786563095.3406768
consumption,USA,End-use,auto,342539217.4201247
consumption,USA,End-use,electricity,5828452.320404293
consumption,USA,End-use,gas_water,9955075.280288266
consumption,USA,End-use,construction,211954126.83440515
consumption,USA,End-use,service,509311476.0511374
consumption,USA,End-use,transportation,13282268.067609046
consumption,USA,End-use,waste,4191041.377987545
consumption,USA,End-use,other_sec,37074416.365011424
consumption,EU27,End-use,agrifood,130686118.43745326
consumption,EU27,End-use,mining,222552230.98812005
consumption,EU27,End-use,manufacturing,588256100.0202763
consumption,EU27,End-use,machinery_electronics,521281986.8980234
consumption,EU27,End-use,auto,263818385.90681693
consumption,EU27,End-use,electricity,32609503.305590212
consumption,EU27,End-use,gas_water,22215356.46277067
consumption,EU27,End-use,construction,314363936.92081136
consumption,EU27,End-use,service,430438170.8901857
consumption,EU27,End-use,transportation,46820524.37381326
consumption,EU27,End-use,waste,8827957.645457005
consumption,EU27,End-use,other_sec,47571909.31769788
consumption,other,End-use,agrifood,449103404.2324371
consumption,other,End-use,mining,1149205242.2261024
consumption,other,End-use,manufacturing,2260852679.7145157
consumption,other,End-use,machinery_electronics,2789568606.0699325
consumption,other,End-use,auto,823909898.0541693
consumption,other,End-use,electricity,161232390.743792
consumption,other,End-use,gas_water,63813512.005218744
consumption,other,End-use,construction,2616595585.1379466
consumption,other,End-use,service,1642445113.9558706
consumption,other,End-use,transportation,124126791.05549112
consumption,other,End-use,waste,102284223.96443428
consumption,other,End-use,other_sec,184439931.4624881
